2026-04-15 16:10:34,283 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:34,284 | WARNING | aiogram.dispatcher | Sleep for 5.092298 seconds and try again... (tryings = 28, bot id = 8696591670)
2026-04-15 16:10:39,489 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:39,490 | WARNING | aiogram.dispatcher | Sleep for 4.889749 seconds and try again... (tryings = 29, bot id = 8696591670)
2026-04-15 16:10:44,490 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:44,491 | WARNING | aiogram.dispatcher | Sleep for 4.953847 seconds and try again... (tryings = 29, bot id = 8696591670)
2026-04-15 16:10:49,545 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:49,547 | WARNING | aiogram.dispatcher | Sleep for 4.873350 seconds and try again... (tryings = 30, bot id = 8696591670)
2026-04-15 16:10:54,526 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:54,526 | WARNING | aiogram.dispatcher | Sleep for 4.965954 seconds and try again... (tryings = 30, bot id = 8696591670)
2026-04-15 16:10:59,610 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:10:59,611 | WARNING | aiogram.dispatcher | Sleep for 4.883901 seconds and try again... (tryings = 31, bot id = 8696591670)
2026-04-15 16:11:04,601 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-15 16:11:04,601 | WARNING | aiogram.dispatcher | Sleep for 4.726698 seconds and try again... (tryings = 31, bot id = 8696591670)
